PM2.5,PM10
25,95.0
22,84.0
17,56.0
18,41.0
20,49.0
20,55.0
17,32.0
17,46.0
19,50.0
20,54.0
12,24.0
14,43.0
13,36.0
17,56.0
21,68.0
18,53.0
17,52.0
16,58.0
16,49.0
21,60.0
17,45.0
15,41.0
17,47.0
18,56.0
16,38.0
19,40.0
15,34.0
15,37.0
15,49.0
13,28.0
18,53.0
20,39.0
22,54.0
17,41.0
15,33.0
22,50.0
21,49.0
19,49.0
24,67.0
29,77.0
12,23.0
19,46.0
21,48.0
12,27.0
16,32.0
19,43.0
19,46.0
25,66.0
16,32.0
16,33.0
23,48.0
29,62.0
31,85.0
29,77.0
27,69.0
30,69.0
31,77.0
33,87.0
33,87.0
31,81.0
27,77.0
28,70.0
30,61.0
20,42.0
21,59.0
22,46.0
25,48.0
17,28.0
26,49.0
27,52.0
25,54.0
29,71.0
36,89.0
31,73.0
33,75.0
30,61.0
24,41.0
26,44.0
40,88.0
44,103.0
33,83.0
35,112.0
40,102.0
40,76.0
40,78.0
25,57.0
36,72.0
34,76.0
44,97.0
56,132.0
56,130.0
52,142.0
49,123.0
49,123.0
44,95.0
51,120.0
53,125.0
47,102.0
50,81.0
48,75.0
50,99.0
39,77.0
32,68.0
46,103.0
50,111.0
31,74.0
31,79.0
55,155.0
60,144.0
53,144.0
55,186.0
58,148.0
79,183.0
52,115.0
66,141.0
46,93.0
33,90.0
30,60.0
47,93.0
40,75.0
38,91.0
47,87.0
36,80.0
28,57.0
40,62.0
57,98.0
80,134.0
84,148.0
91,168.0
91,173.0
77,145.0
91,178.0
91,182.0
88,164.0
80,154.0
82,154.0
86,162.0
91,159.0
75,129.0
35,71.0
26,46.0
37,70.0
36,68.0
69,125.0
80,148.0
65,126.0
77,148.0
57,129.0
30,75.0
37,95.0
66,134.0
69,137.0
42,89.0
44,95.0
68,133.0
73,124.0
64,107.0
91,159.0
91,157.0
44,84.0
34,54.0
53,78.0
81,121.0
59,87.0
50,61.0
61,83.0
48,72.0
40,66.0
55,87.0
55,78.0
78,113.0
91,132.0
47,75.0
42,73.0
58,93.0
75,112.0
67,100.0
43,65.0
36,56.0
76,101.0
58,73.0
67,88.0
71,97.0
66,93.0
